metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1753177501,1.000000,,,,,,,,,,,,,,,,
vus_max,1753177501,1.000000,,,,,,,,,,,,,,,,
http_reqs,1753177501,1.000000,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_duration,1753177501,333.757300,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_blocked,1753177501,1033.116400,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_connecting,1753177501,327.461600,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_tls_handshaking,1753177501,656.269200,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_sending,1753177501,0.926600,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_waiting,1753177501,331.825500,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_receiving,1753177501,1.005200,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
http_req_failed,1753177501,0.000000,,,,true,,POST,https://restful-booker.herokuapp.com/auth,HTTP/1.1,default,,200,,tls1.2,https://restful-booker.herokuapp.com/auth,,
checks,1753177501,1.000000,login status 200,,,,,,,,default,,,,,,,
data_sent,1753177501,649.000000,,,,,,,,,default,,,,,,,
data_received,1753177501,5097.000000,,,,,,,,,default,,,,,,,
iteration_duration,1753177501,1366.873700,,,,,,,,,default,,,,,,,
iterations,1753177501,1.000000,,,,,,,,,default,,,,,,,
